library,code,name,slug,description,icon_hint,color_hint,sort_order,is_active,theme,id,battle_role,stat_focus,gameplay_role,behavior_rule,effect_type,default_duration,stackable,example_use_case,rank_order
affiliations,AFF001,Forest,forest,"Power drawn from ancient trees, vines, wildlife, and living groves.",tree,#2F8F46,1,True,"Nature, healing, roots, protection",1,,,,,,,,,
affiliations,AFF002,Mountain,mountain,"Power drawn from cliffs, stone peaks, endurance, and sacred highlands.",mountain,#7A6A58,2,True,"Defense, resilience, altitude, silence",2,,,,,,,,,
affiliations,AFF003,River,river,"Power drawn from freshwater, currents, rain-fed streams, and healing waters.",waves,#3B82C4,3,True,"Healing, flow, cleansing, movement",3,,,,,,,,,
affiliations,AFF004,Sea,sea,"Power drawn from oceans, tides, reefs, storms, and maritime mysteries.",anchor,#1D5F8F,4,True,"Tides, storms, depth, mystery",4,,,,,,,,,
affiliations,AFF005,Sky,sky,"Power drawn from wind, clouds, birds, lightning, and open horizons.",cloud-lightning,#7AAEDB,5,True,"Speed, vision, lightning, freedom",5,,,,,,,,,
affiliations,AFF006,Sacred,sacred,"Power drawn from blessing, ritual purity, vows, prayer, and sanctuaries.",sparkles,#F6D365,6,True,"Protection, cleansing, hope, wards",6,,,,,,,,,
affiliations,AFF007,Shadow,shadow,"Power drawn from fear, night, secrets, curses, and hidden places.",moon,#2D2640,7,True,"Ambush, fear, curse, concealment",7,,,,,,,,,
affiliations,AFF008,Underworld,underworld,"Power drawn from death, decay, bones, ancestral thresholds, and lost souls.",skull,#4A3B36,8,True,"Doom, rot, ghosts, passage",8,,,,,,,,,
affiliations,AFF009,Fire,fire,"Power drawn from flame, volcanoes, heat, rage, and transformation.",flame,#D95F32,9,True,"Burn, fury, purification, forging",9,,,,,,,,,
affiliations,AFF010,Earth,earth,"Power drawn from soil, roots, minerals, clay, and buried memory.",gem,#8B6F47,10,True,"Defense, grounding, harvest, minerals",10,,,,,,,,,
affiliations,AFF011,Spirit,spirit,"Power drawn from raw spiritual force, unseen realms, and dreamlike presence.",swirl,#9B7EDE,11,True,"Energy, souls, astral effects",11,,,,,,,,,
affiliations,AFF012,Trickster,trickster,"Power drawn from misdirection, jokes, illusions, games, and reversed paths.",mask,#D487C8,12,True,"Confusion, evasion, puzzles",12,,,,,,,,,
affiliations,AFF013,Beast,beast,"Power drawn from instinct, claws, fangs, wild motion, and animal strength.",paw,#A86B3D,13,True,"Physical force, hunting, survival",13,,,,,,,,,
affiliations,AFF014,Divine,divine,"Power drawn from celestial authority, ancient vows, and rare heavenly favor.",sun,#FFE082,14,True,"Mythic power, miracles, judgment",14,,,,,,,,,
affiliations,AFF015,Corruption,corruption,"Power drawn from broken balance, spiritual infection, obsession, and despair.",crack,#7F1D1D,15,True,"Twisted forms, decay, frenzy",15,,,,,,,,,
affiliations,AFF016,Moon,moon,"Power drawn from moonlight, tides, dreams, sleep, mystery, and hidden truths.",crescent-moon,#B8C7FF,16,True,"Dreams, sleep, mystery, tides",16,,,,,,,,,
affiliations,AFF017,Sun,sun,"Power drawn from daylight, growth, warmth, truth, and purification.",sunrise,#FFB84D,17,True,"Vitality, reveal, cleanse, courage",17,,,,,,,,,
affiliations,AFF018,Ancestor,ancestor,"Power drawn from memory, lineage, old names, inherited duty, and family spirits.",scroll,#C7A76C,18,True,"Memory, wisdom, protection",18,,,,,,,,,
affiliations,AFF019,Storm,storm,"Power drawn from typhoons, thunder, monsoon winds, and sudden change.",cloud-bolt,#5C7CFA,19,True,"Lightning, disruption, speed",19,,,,,,,,,
affiliations,AFF020,Mist,mist,"Power drawn from fog, mountain haze, vanishing paths, and uncertain borders.",cloud-fog,#A7C7C9,20,True,"Evasion, concealment, dreams",20,,,,,,,,,
affiliations,AFF021,Blood,blood,"Power drawn from life force, hunger, sacrifice, wounds, and cursed appetite.",droplet,#9F1239,21,True,"Bleed, drain, risk, sacrifice",21,,,,,,,,,
affiliations,AFF022,Dream,dream,"Power drawn from sleep, visions, omens, nightmares, and prophecy.",eye-closed,#8B5CF6,22,True,"Sleep, prophecy, illusion",22,,,,,,,,,
affiliations,AFF023,Metal,metal,"Power drawn from blades, bells, chains, coins, gongs, and forged relics.",shield,#6B7280,23,True,"Armor, weapons, resonance",23,,,,,,,,,
affiliations,AFF024,Poison,poison,"Power drawn from venom, rot, bitter herbs, insects, and toxic curses.",bug,#6E8B3D,24,True,"Poison, decay, weakening",24,,,,,,,,,
combat_classes,CLS001,Guardian,guardian,A protector that shields allies and controls enemy attention.,shield,#4F6F52,1,True,,1,"Defense, HP, spirit defense","Defense, HP, spirit defense",,,,,,,
combat_classes,CLS002,Tank,tank,A durable frontliner built to absorb punishment.,square,#586069,2,True,,2,"HP, defense","HP, defense",,,,,,,
combat_classes,CLS003,Warrior,warrior,A balanced physical fighter with reliable damage.,sword,#9A5A2E,3,True,,3,"Attack, defense","Attack, defense",,,,,,,
